,tic,fyear,current_ratio,acid,receivable_turnover,inventory_turnover,profit_margin,asset_turnover,roa,roe,eps,pe,payout_ratio,debt_to_assets_ratio,times_interest_earned
10,AAPL,2020,1.3636044481554577,0.9436105207226355,7.331152356789959,39.36444225560207,0.20913611278072236,1.9101612241063788,0.3994836931940743,0.8786635853012749,3.31,34.987915407854985,0.24526658654264863,0.7333504971714458,24.352245040027846
11,AAPL,2021,1.0745531195957954,0.38739729520803945,7.102415252591931,30.924164133738604,0.2588179335569424,2.71305141060251,0.7021863597258893,1.5007132667617689,5.67,24.955908289241624,0.15279890156316012,0.930619419146222,42.288090737240076
12,AAPL,2022,0.8793560286267226,0.2530230806198127,6.471607693822622,43.438334007278605,0.2530964070519973,2.912211513607326,0.7370702706694731,1.9695887275023682,6.15,22.471544715447152,0.14870294480125848,1.1371958199475647,41.635619242579324
23,F,2020,1.2011688204790518,0.6385813647213763,2.418335710889206,9.904330125832717,-0.010059460139684138,1.0890838073048723,-0.010955595148358803,-0.04167481264255458,-0.32,-27.468749999999996,-0.4659890539483972,0.8325224422668402,0.7784597109483271
24,F,2021,1.2013623287444752,,3.095985285435306,9.034314131786159,0.13155983893326292,1.250880766266652,0.16456567213475723,0.36969022444815436,4.49,4.625835189309576,0.022467525227184034,0.8323883445264046,4.8769867189200955
25,F,2022,1.2024446142093201,,2.8929094370012445,9.162215909090909,-0.0125334531213423,1.3569919983515917,-0.017007795597376283,-0.04581194209333518,-0.49,-23.734693877551024,-1.0141342756183747,0.8316391359593392,0.38057914217287175
36,GM,2020,1.0126892754348642,0.41323989488174195,3.5768309776895224,9.030874450415242,0.052471731232395805,1.5135806435668033,0.07942019672779398,0.1427270708416611,4.36,9.55045871559633,0.10409211140501011,0.9874697246799466,2.990050958505217
37,GM,2021,1.1034162993226535,0.46981507364799485,3.7306935346473575,7.2434554973821985,0.07888727914081446,1.5468862282742408,0.12202964568895168,0.16769884841992502,6.78,8.64749262536873,0.01856472701866454,0.9062762627431397,4.658466819221968
38,GM,2022,1.1017504990457805,0.2651633141027047,3.337841003471261,7.86665365091761,0.06338086579257983,1.5603129884222158,0.09889398811360763,0.1465364644795846,6.17,5.452188006482983,0.03996376082142138,0.907646514220864,4.056618407445709
50,HMC,2020,1.3260691208409219,,5.072474933503744,5.832408703360047,0.049916411792207856,1.7377438800555909,0.08674193910624393,0.07238525671857998,3.44,8.779069767441861,0.2206944214522878,0.7541085033077715,64.12838333280199
51,HMC,2021,1.472491254745008,,5.616891007502879,5.259714713119979,0.048586669490890536,1.6459672499536693,0.07997206676632894,0.06751445773572738,3.39,8.336283185840708,0.26645562685248064,0.6791211810444134,61.26909868463683
56,NIO,2020,3.306097892417461,3.047556733383426,6.397507609316855,12.869500227859639,-0.34511097268803026,0.35185138566807256,-0.1214277739495398,-0.20651571298643498,-0.72,-67.69444444444444,-0.0,0.3024713824395524,-12.155418434246045
57,NIO,2021,2.17963492646075,1.7885997029407215,6.184426670609429,13.693665974693555,-0.2925666440776885,0.5678138833851544,-0.16612340232271458,-0.30459045525713047,-1.06,-29.886792452830186,-0.0,0.4587924279703946,-36.68919103269519
59,LCID,2020,,,,,,,,,,,,,
60,LCID,2021,16.4275702409234,15.831207192105042,8.612134688691233,0.7229076620825147,-95.1555088340526,0.004166450872655613,-0.3964607528196273,-0.10549796577696323,-6.41,-5.9360374414976596,0.8401289886931386,0.06087327494779834,-1876.519650655022
61,LCID,2022,5.23916681510177,4.157661544500133,31.121737795517348,1.7491625729115856,-2.144854903392247,0.12381464437906299,-0.26556444710820054,-0.2998964756428086,-0.78,-8.756410256410255,-0.0,0.19087004390040122,-38.166296251802024
63,RIVN,2020,4.9361702127659575,4.875613747954174,,,-inf,0.0,-0.3375331564986737,0.7355491329479769,-1.16,,-0.0,0.2025862068965517,-126.25
64,RIVN,2021,14.134805788271136,,2.1153846153846154,1.5182481751824817,-85.23636363636363,0.0029635217414731396,-0.25259981680047416,-0.24023777800553447,-5.35,-19.381308411214953,-0.0,0.07074734630098604,-160.6551724137931
65,RIVN,2022,5.416666666666667,,16.254901960784313,3.1943620178041545,-4.072376357056695,0.12627570449352626,-0.5142421934501142,-0.4893108196246105,-7.4,-2.4905405405405405,-0.0,0.18461538461538463,-64.51456310679612
76,VWAGY,2020,1.1785502686393896,0.33881263978819287,2.529892303010632,3.6111174182630497,0.03927622368689927,1.1580761700789908,0.04548485870249004,0.08442911974988072,2.0,10.4065,0.2728092155823295,0.848500082354975,7.4094120489083615
77,VWAGY,2021,1.2187076096452607,0.416611413564797,2.8946644790663725,4.016901092261672,0.06088143828821494,1.2610870151046745,0.07677679128616441,0.1224598053354766,3.37,8.719584569732937,0.16142245745253436,0.8205413604425416,13.214108304577476
89,NVDA,2020,4.090445859872611,2.8053503184713375,6.864965006175381,2.728368017524644,0.25979010494752625,1.038617253192152,0.2698224852071006,0.2564375776949032,7.02,74.01566951566953,0.09118190212373038,0.2444721270632202,24.96195652173913
90,NVDA,2021,6.650288350634371,4.381314878892733,5.787956989247312,3.1727447216890594,0.3623393029649996,0.933573831905373,0.3382704915189566,0.3664512250112731,3.91,62.62404092071611,0.040914684167350286,0.15036941968157064,43.1228813559322
91,NVDA,2022,3.515617857687033,2.1511503885418253,7.04834073686961,1.9528978484202364,0.16193371394676356,1.169072075586183,0.1893121830711221,0.19763811592235644,1.76,111.00568181818183,0.09111721611721611,0.28444502232046115,16.958015267175572
102,TSLA,2020,1.8751403705783267,1.331414935429534,16.493723849372383,5.4501341136308215,0.022862760020294266,1.1803720477598534,0.026986562862596847,0.03244094488188976,0.74,953.608108108108,0.0,0.5332934086910955,2.4659913169319827
103,TSLA,2021,1.3752854605430094,0.9095153514336463,26.951927891837755,6.480111169011638,0.10253980640246735,1.986088560885609,0.20365313653136533,0.1828149325913412,5.6,188.7107142857143,0.0,0.7271217712177122,18.867816091954023
104,TSLA,2022,1.53195552061103,0.799543225130106,26.084534101825167,4.428849598878418,0.15413321548697553,1.9909084243712882,0.30686511718845466,0.2808697208303508,4.02,30.641791044776124,0.0,0.6527604663098467,72.66492146596859
1,STLA,2020,1.144257293999286,0.7513387206698472,11.531042339092462,8.809727916511369,,1.7225594191389189,,,,,,0.873929321005162,
2,STLA,2021,1.1532294123995868,0.7965215782413617,17.952541151027273,10.179297597042513,0.0884091045984781,1.9977137509191791,0.17661608396283174,,4.318,3.865215377489579,,0.8671301557590748,18.52143684820394
3,STLA,2022,1.268627010849233,0.7226038159371493,15.48340374170187,8.028629032258065,0.09353980132745333,2.1184297442672455,0.19815749740492591,,5.3498,2.478597330741336,,0.7882537510616212,17.125516102394716
